rank,actor1,actor2,actor3,actor4
327,Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo
328,Ryan Gosling, Emma Stone, Ami_e Conn, Terry Walters
329,Shailene Woodley, Theo James, Ashley Judd, Jai Courtney
330,Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff
331,Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter
332,Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken
333,Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church
334,Adewale Akinnuoye-Agbaje, Christopher Eccleston, Gr_gory Fitoussi, Joseph Gordon-Levitt
335,Seth Rogen, Rose Byrne, Elise Vargas, Zoey Vargas
336,Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner
337,Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton
338,Melissa D'Agostino, Adam Lazarus, 
339,Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann
340,Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.
341,Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman
342,Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill
343,Adam Sandler, Andy Samberg, Selena Gomez, Kevin James
344,Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole
345,Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her
346,Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland
347,Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval
348,James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner
349,Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez
350,Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton
351,Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers
352,Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein
353,Liam Neeson, Maggie Grace, Leland Orser, Jon Gries
354,Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth
355,Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley
356,Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd
357,Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell
358,Mel Gibson, Danny Glover, Joe Pesci, Rene Russo
359,Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster
360,Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle
361,Amanda Seyfried, Stellan Skarsgërd, Pierce Brosnan, Nancy Baldwin
362,Karen Disher, Jason Fricchione, Sofia Scarpa Saldanha, Leslie Mann
363,Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie
364,Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman
365,Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner
366,Hank Azaria, Neil Patrick Harris, Jayma Mays, SofÍa Vergara
367,Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson
368,Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba
369,Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley
370,Karen Allen, Kevin Bacon, Stephen Furst, John Landis
371,Joe Baker, Christian Bale, Irene Bedard, Billy Connolly
372,Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon
373,Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi
374,Ken Leung, Jackie Chan, Tom Wilkinson, Tzi Ma
375,Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin
376,Robert Duvall, T_a Leoni, Elijah Wood, Vanessa Redgrave
377,Chris Tucker, Jackie Chan, Max von Sydow, Hiroyuki Sanada
378,John Travolta, Kirstie Alley, Olympia Dukakis, George Segal
379,Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki
380,Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser
381,Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena
382,Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan
383,Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd
